drug_a,drug_b,cell_line,synergy
2478,77082,U251,0
2478,119182,U251,0
2478,657237,U251,0
2478,454216,U251,0
2478,5284616,U251,0
2478,72466,U251,0
9941095,644241,SK-MEL-28,0
5329102,644241,RXF393,0
2578,657237,HCT-15,0
9887053,454216,UACC-257,0
4114,36314,RPMI-8226,0
3011155,3902,786-0,0
5329102,644241,SK-MEL-28,0
2907,5284616,HL-60,0
104741,60953,HCC2998,0
5284616,2187,CCRF-CEM,0
60953,3011155,786-0,0
5311,3902,HL-60,0
36314,3011155,NCI-H322M,0
9941095,123596,SK-MEL-28,0
387447,20279,OVCAR-3,0
5329102,123596,RXF393,0
5329102,3011155,SK-MEL-28,0
148124,5394,NCI-H322M,0
5329102,5394,RXF393,0
148124,426756,NCI-H322M,0
5311,36314,RPMI-8226,0
2907,72466,HL-60,0
60953,3902,786-0,0
9887053,454216,M14,0
9444,2187,CCRF-CEM,0
9444,644241,NCI-H322M,0
2907,249332,HL-60,0
104842,3902,HL-60,0
119182,3902,786-0,0
2578,454216,UACC-257,0
148124,2187,OVCAR-5,0
9444,644241,CCRF-CEM,0
4114,148124,RXF393,0
9887053,454216,SF539,0
9941095,3902,SK-MEL-28,0
36314,644241,NCI-H322M,0
5329102,3902,SK-MEL-28,0
5329102,123596,SK-MEL-28,0
644241,5790,NCI-H322M,0
77082,457193,RPMI-8226,0
3950,4212,HL-60,0
2907,657237,HL-60,0
5311,644241,SF268,0
644241,3902,NCI-H322M,0
2907,36314,SR,0
2187,5311,LOXIMVI,0
9444,60953,CCRF-CEM,0
5311,123596,SF268,0
4842,72466,HL-60,0
9887053,454216,A498,0
9887053,454216,HCC2998,0
5311,457193,HL-60,0
6442177,644241,SK-MEL-28,0
4114,36314,HL-60,0
387447,148124,MOLT-4,0
4842,4211,HL-60,0
2907,667490,HL-60,0
5352062,644241,NCI-H322M,0
4842,457193,HL-60,0
387447,9444,OVCAR-3,0
36314,426756,NCI-H322M,0
9887053,454216,LOXIMVI,0
644241,126941,786-0,0
644241,20279,NCI-H322M,0
5329102,3011155,RXF393,0
2662,126941,T47D,0
5329102,5394,SK-MEL-28,0
2187,60953,CCRF-CEM,0
9444,36314,MOLT-4,0
104842,644241,NCI-H322M,0
6442177,5394,SK-MEL-28,0
5284616,3902,CCRF-CEM,0
406563,9941095,CCRF-CEM,0
6442177,123596,SK-MEL-28,0
387447,126941,OVCAR-3,0
5329102,9941095,SK-MEL-28,0
5329102,3902,RXF393,0
406563,5329102,CCRF-CEM,0
2907,454216,SK-MEL-28,0
5311,3011155,HL-60,0
148124,3902,OVCAR-5,0
5284616,3657,786-0,0
148124,3011155,OVCAR-5,0
644241,2662,HL-60,0
6442177,3902,SK-MEL-28,0
5329102,644241,MDA-MB-231,0
9444,457193,CCRF-CEM,0
9444,5394,NCI-H322M,0
9887053,454216,NCI-H226,0
57469,454216,NCI-H226,0
5311,644241,SK-MEL-28,0
2708,3385,HT-29,0
387447,126941,T47D,0
20279,126941,786-0,0
148124,644241,NCI-H322M,0
3011155,123596,HL-60,0
9444,123596,NCI-H322M,0
148124,20279,NCI-H322M,0
387447,126941,MOLT-4,0
241902,3902,SR,0
5329102,9941095,RXF393,0
5311,2662,HL-60,0
6442177,3011155,SK-MEL-28,0
2907,4211,HL-60,0
36314,3902,NCI-H322M,0
2907,5790,HL-60,0
148124,3902,NCI-H322M,0
4114,657237,RPMI-8226,0
451668,36314,SF539,0
148124,3011155,NCI-H322M,0
57469,454216,HCC2998,0
9941095,3011155,K-562,0
5799,36314,RPMI-8226,0
68740,60953,CCRF-CEM,0
36314,20279,NCI-H322M,0
9444,104741,CCRF-CEM,0
3011155,123596,NCI-H322M,0
6442177,123596,RXF393,0
439693,454216,M14,0
148121,6252,NCI-H522,0
36314,119182,RPMI-8226,0
5394,126941,T47D,0
3690,454216,LOXIMVI,0
60749,123596,NCI-H322M,0
6442177,5394,RXF393,0
148124,5394,OVCAR-5,0
406563,60953,K-562,0
9444,426756,NCI-H322M,0
9444,3011155,NCI-H322M,0
439693,454216,CCRF-CEM,0
2708,11683,NCI-H322M,0
451668,36314,MOLT-4,0
119182,123596,NCI-H322M,0
406563,5311,CCRF-CEM,0
2478,126941,CAKI-1,0
9444,3011155,OVCAR-5,0
9444,2187,OVCAR-5,0
451668,454216,UACC-257,0
439693,454216,A549,0
60953,2187,CCRF-CEM,0
6442177,123596,NCI-H322M,0
9941095,5394,SK-MEL-28,0
406563,3011155,K-562,0
2141,126941,SF539,0
5311,2187,SF268,0
2187,2733525,HL-60,0
4842,249332,HL-60,0
2907,457193,SR,0
2907,126941,CAKI-1,0
119182,644241,CCRF-CEM,0
6442177,644241,RXF393,0
5329102,426756,RXF393,0
5352062,123596,NCI-H322M,0
5311,2187,MDA-MB-231,0
3950,4212,MOLT-4,0
9444,36314,CCRF-CEM,0
9887053,454216,HCT-15,0
4114,60749,OVCAR-3,0
5329102,5284616,RXF393,0
29327,36314,MOLT-4,0
4114,148124,LOXIMVI,0
60699,457193,U251,0
60749,644241,CCRF-CEM,0
135401907,454216,MOLT-4,0
4114,36314,HCC2998,0
241902,119182,SR,0
9941095,644241,RXF393,0
2578,454216,RPMI-8226,0
5329102,5453,RXF393,0
135413520,60198,HT-29,0
9444,2187,NCI-H322M,0
5284616,3011155,786-0,0
2708,60198,HT-29,0
148124,657237,NCI-H322M,0
5311,3011155,UACC-62,0
148121,20279,Hs-578-T,0
123608,148124,RPMI-8226,0
2141,2733525,SK-MEL-5,0
4114,457193,NCI-H226,0
60953,454216,NCI-H226,0
123596,6252,K-562,0
2907,3657,HL-60,0
644241,444795,NCI-H322M,0
57469,454216,LOXIMVI,0
104842,5394,NCI-H322M,0
387447,148124,OVCAR-3,0
2907,5799,CAKI-1,0
4114,148124,BT-549,0
3950,4212,HOP-62,0
5329102,123596,HL-60,0
5329102,123596,NCI-H322M,0
148121,20279,SK-OV-3,0
451668,454216,LOXIMVI,0
4114,148124,RPMI-8226,0
2478,3657,CAKI-1,0
5352062,3902,OVCAR-5,0
9444,2733525,CCRF-CEM,0
104741,9941095,CCRF-CEM,0
6442177,3902,RXF393,0
9444,3902,NCI-H322M,0
9887053,454216,KM12,0
148124,2187,NCI-H322M,0
5311,5394,SK-MEL-28,0
5311,3902,SF268,0
29327,454216,LOXIMVI,0
2907,454216,UACC-257,0
135398738,62770,CCRF-CEM,0
644241,2187,CCRF-CEM,0
644241,77082,786-0,0
9444,60953,K-562,0
60749,3902,CCRF-CEM,0
123608,5799,HOP-62,0
2907,454216,BT-549,0
9444,36314,SF539,0
451668,36314,M14,0
5352062,426756,NCI-H322M,0
135401907,444795,CAKI-1,0
2478,9444,CAKI-1,0
148121,36314,SNB75,0
36314,5790,NCI-H322M,0
9887053,454216,SF268,0
148124,3902,HL-60,0
5311,3011155,SK-MEL-28,0
5311,644241,NCI-H322M,0
60953,20279,NCI-H322M,0
60953,123596,HL-60,0
9444,3902,OVCAR-5,0
9444,123596,CCRF-CEM,0
451668,126941,SF539,0
4842,5284616,HL-60,0
2907,454216,NCI-H226,0
57469,163659,U251,0
9444,457193,K-562,0
77082,5329102,CCRF-CEM,0
36314,3011155,SK-MEL-5,0
2907,5935,HL-60,0
60953,5394,SF295,0
4842,5790,HL-60,0
9887053,454216,A549,0
148124,457193,NCI-H322M,0
5311,123596,SK-MEL-28,0
60953,657237,786-0,0
4842,667490,HL-60,0
148124,2187,SK-MEL-28,0
104842,3011155,HL-60,0
60953,123596,NCI-H322M,0
148121,60953,SNB75,0
135401907,657237,CAKI-1,0
2578,72466,HCT-15,0
5426,60749,RXF393,0
5311,3902,SK-MEL-28,0
2187,5329102,CCRF-CEM,0
443939,9941095,RPMI-8226,0
9887053,454216,UACC-62,0
249332,3902,NCI-H226,0
3011155,644241,HL-60,0
60953,2187,MDA-MB-231,0
36314,6252,NCI-H322M,0
9887053,454216,SK-MEL-5,0
5311,426756,NCI-H322M,0
5311,5394,NCI-H322M,0
6442177,3011155,RXF393,0
2123,11683,HL-60,0
644241,657237,786-0,0
36314,3011155,UACC-62,0
148124,2187,CCRF-CEM,0
249332,3902,A549,0
3690,241902,MOLT-4,0
5746,454216,OVCAR-8,0
148124,241902,NCI-H322M,0
387447,148124,T47D,0
104842,5394,T47D,0
5311,5394,SF268,0
104741,3062316,CCRF-CEM,0
5352062,5394,NCI-H322M,0
2708,11683,HOP-92,0
57469,454216,A549,0
2578,454216,NCI-H522,0
9444,2733525,OVCAR-8,0
5284616,123596,CCRF-CEM,0
4114,148124,DU-145,0
5311,60953,HL-60,0
11683,135413520,HOP-92,0
644241,2187,MDA-MB-231,0
36314,3011155,HT-29,0
57469,457193,SF539,0
387447,657237,RPMI-8226,0
5311,123596,UACC-62,0
2907,454216,OVCAR-8,0
68740,9941095,RPMI-8226,0
36314,60749,NCI-H322M,0
36314,3011155,OVCAR-5,0
451668,454216,RXF393,0
135401907,5935,CAKI-1,0
4842,241902,HL-60,0
9887053,454216,SK-OV-3,0
2187,60953,MCF7,0
443939,5329102,RPMI-8226,0
60749,2187,CCRF-CEM,0
387447,20279,T47D,0
6442177,123596,HL-60,0
3657,9941095,RPMI-8226,0
6239,241902,CAKI-1,0
5284616,123596,HL-60,0
4842,126941,RXF393,0
2907,20279,CAKI-1,0
4114,457193,SK-MEL-28,0
60749,5394,NCI-H322M,0
148124,3902,CCRF-CEM,0
443939,5329102,CCRF-CEM,0
6194,11683,NCI-H322M,0
4114,36314,OVCAR-8,0
4114,148124,OVCAR-5,0
119182,163659,SF539,0
5311,2187,SK-MEL-28,0
123596,126941,MDA-MB-231,0
406563,60953,CCRF-CEM,0
60953,5394,NCI-H322M,0
123596,3902,HCT-15,0
444795,3902,SF268,0
135401907,119182,CCRF-CEM,0
5394,126941,NCI-H226,0
148124,5453,NCI-H322M,0
29327,241902,OVCAR-3,0
9444,5394,OVCAR-8,0
36314,60953,RPMI-8226,0
2141,163659,U251,0
4114,457193,OVCAR-3,0
6442177,426756,RXF393,0
406563,5329102,K-562,0
5329102,123596,MDA-MB-231,0
9444,36314,K-562,0
148124,5790,NCI-H322M,0
387447,9444,CCRF-CEM,0
9444,3902,SK-MEL-28,0
2907,454216,HCT-15,0
2907,5394,HL-60,0
4114,457193,BT-549,0
3011155,5394,HCC2998,0
3011155,5394,SF295,0
68740,2733525,SR,0
9941095,426756,K-562,0
20279,126941,K-562,0
36314,3902,OVCAR-5,0
60953,2662,HL-60,0
77082,9941095,CCRF-CEM,0
439693,454216,SF539,0
4114,249332,DU-145,0
119182,644241,NCI-H322M,0
2187,3062316,CCRF-CEM,0
68740,123596,SK-MEL-2,0
460612,135398738,NCI-H322M,0
443939,457193,CCRF-CEM,0
2733525,444795,HOP-62,0
4114,148124,MDA-MB-468,0
104842,2187,T47D,0
104842,3902,UACC-62,0
11683,123631,HOP-92,0
68740,9941095,CCRF-CEM,0
9941095,5394,K-562,0
148121,20279,NCI-H322M,0
5799,36314,NCI-H322M,0
9444,36314,OVCAR-8,0
2907,9444,CAKI-1,0
4114,126941,OVCAR-8,0
148124,123596,NCI-H322M,0
104842,5394,OVCAR-5,0
9444,457193,MOLT-4,0
444795,2662,SF268,0
444795,126941,RXF393,0
36314,119182,NCI-H322M,0
451668,36314,SK-OV-3,0
2123,135398738,NCI-H322M,0
2123,11683,NCI-H322M,0
5746,454216,MOLT-4,0
60749,3902,786-0,0
249332,3902,SF268,0
6442177,119182,RXF393,0
644241,2187,786-0,0
9703,657237,RXF393,0
9444,20279,NCI-H322M,0
443939,5394,RPMI-8226,0
5790,126941,OVCAR-4,0
6194,11683,CAKI-1,0
4114,457193,MOLT-4,0
119182,2187,CCRF-CEM,0
148124,5394,SK-MEL-28,0
60953,644241,CCRF-CEM,0
406563,3902,NCI-H322M,0
72466,444795,SR,0
451668,36314,KM12,0
439693,148124,HCC2998,0
2907,148124,CCRF-CEM,0
4114,241902,HL-60,0
6252,126941,Hs-578-T,0
5311,3011155,SF268,0
644241,123596,MDA-MB-231,0
5329102,3902,IGROV-1,0
5329102,644241,IGROV-1,0
443939,60953,RPMI-8226,0
5284616,2187,786-0,0
104741,9941095,MOLT-4,0
2187,444795,HL-60,0
644241,2187,NCI-H322M,0
9444,5394,CCRF-CEM,0
104741,60953,LOXIMVI,0
68740,644241,K-562,0
72466,60953,CCRF-CEM,0
451668,454216,SF295,0
123608,36314,MOLT-4,0
