drug_a,drug_b,cell_line,synergy
104842,16224745,A2058,1
104842,16224745,A2780,1
104842,16224745,A375,1
104842,16224745,A427,0
104842,16224745,COLO-320-HSR,0
104842,16224745,EFM-192A,1
104842,16224745,ES-2,0
104842,16224745,HCT-116,0
104842,16224745,HT-144,1
104842,16224745,HT-29,0
104842,16224745,LNCaP-Clone-FGC,1
104842,16224745,LOVO,0
104842,16224745,MDA-MB-436,1
104842,16224745,MSTO-211H,0
104842,16224745,NCI-H1650,0
104842,16224745,NCI-H2122,0
104842,16224745,NCI-H23,0
104842,16224745,NCI-H520,1
104842,16224745,OCUB-M,1
104842,16224745,OV-90,0
104842,16224745,OVCAR-3,1
104842,16224745,PA-1,0
104842,16224745,RKO,0
104842,16224745,RPMI-7951,1
104842,16224745,SK-MEL-30,1
104842,16224745,SK-MES-1,0
104842,16224745,SK-OV-3,0
104842,16224745,SW620,0
104842,16224745,SW837,0
104842,16224745,T47D,0
104842,16224745,UACC-62,0
104842,16224745,VCAP,1
104842,216239,A2058,0
104842,216239,A2780,0
104842,216239,A375,1
104842,216239,A427,0
104842,216239,COLO-320-HSR,0
104842,216239,EFM-192A,0
104842,216239,ES-2,0
104842,216239,HCT-116,0
104842,216239,HT-144,1
104842,216239,HT-29,0
104842,216239,LNCaP-Clone-FGC,0
104842,216239,LOVO,0
104842,216239,MDA-MB-436,0
104842,216239,MSTO-211H,0
104842,216239,NCI-H1650,1
104842,216239,NCI-H2122,0
104842,216239,NCI-H23,1
104842,216239,NCI-H520,0
104842,216239,OCUB-M,0
104842,216239,OV-90,0
104842,216239,OVCAR-3,0
104842,216239,PA-1,0
104842,216239,RKO,1
104842,216239,RPMI-7951,0
104842,216239,SK-MEL-30,1
104842,216239,SK-MES-1,1
104842,216239,SK-OV-3,0
104842,216239,SW620,0
104842,216239,SW837,0
104842,216239,T47D,0
104842,216239,UACC-62,0
104842,216239,VCAP,0
11520894,104842,A2058,1
11520894,104842,A2780,1
11520894,104842,A375,1
11520894,104842,A427,1
11520894,104842,COLO-320-HSR,0
11520894,104842,EFM-192A,1
11520894,104842,ES-2,1
11520894,104842,HCT-116,0
11520894,104842,HT-144,1
11520894,104842,HT-29,1
11520894,104842,LNCaP-Clone-FGC,0
11520894,104842,LOVO,0
11520894,104842,MDA-MB-436,1
11520894,104842,MSTO-211H,1
11520894,104842,NCI-H1650,1
11520894,104842,NCI-H2122,0
11520894,104842,NCI-H23,0
11520894,104842,NCI-H520,0
11520894,104842,OCUB-M,1
11520894,104842,OV-90,1
11520894,104842,OVCAR-3,1
11520894,104842,PA-1,0
11520894,104842,RKO,1
11520894,104842,RPMI-7951,1
11520894,104842,SK-MEL-30,1
11520894,104842,SK-MES-1,1
11520894,104842,SK-OV-3,1
11520894,104842,SW620,0
11520894,104842,SW837,0
11520894,104842,T47D,0
11520894,104842,UACC-62,1
11520894,104842,VCAP,1
11520894,11977753,A2058,1
11520894,11977753,A2780,1
11520894,11977753,A375,1
11520894,11977753,A427,1
11520894,11977753,COLO-320-HSR,1
11520894,11977753,EFM-192A,1
11520894,11977753,ES-2,1
11520894,11977753,HCT-116,1
11520894,11977753,HT-144,1
11520894,11977753,HT-29,1
11520894,11977753,LNCaP-Clone-FGC,1
11520894,11977753,LOVO,1
11520894,11977753,MDA-MB-436,1
11520894,11977753,MSTO-211H,1
11520894,11977753,NCI-H1650,1
11520894,11977753,NCI-H2122,1
11520894,11977753,NCI-H23,1
11520894,11977753,NCI-H520,1
11520894,11977753,OCUB-M,1
11520894,11977753,OV-90,1
11520894,11977753,OVCAR-3,1
11520894,11977753,PA-1,1
11520894,11977753,RKO,1
11520894,11977753,RPMI-7951,1
11520894,11977753,SK-MEL-30,1
11520894,11977753,SK-MES-1,1
11520894,11977753,SK-OV-3,1
11520894,11977753,SW620,1
11520894,11977753,SW837,1
11520894,11977753,T47D,1
11520894,11977753,UACC-62,1
11520894,11977753,VCAP,1
11520894,16224745,A2058,1
11520894,16224745,A2780,1
11520894,16224745,A375,1
11520894,16224745,A427,1
11520894,16224745,COLO-320-HSR,0
11520894,16224745,EFM-192A,1
11520894,16224745,ES-2,1
11520894,16224745,HCT-116,0
11520894,16224745,HT-144,1
11520894,16224745,HT-29,1
11520894,16224745,LNCaP-Clone-FGC,1
11520894,16224745,LOVO,1
11520894,16224745,MDA-MB-436,1
11520894,16224745,MSTO-211H,1
